trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.040681187,0.04055536314453772,0.052659575,0.052469174623261075,0.6082873940467834,0.6111148660453465,-0.04068118706345558
task1,test_task0,1,0,0.006602405,0.006576455552998916,0.008085436,0.00807097629235981,-1.4505376815795898,-1.4417803802781788,-0.006602405104786158
task1,test_task1,1,1,0.030815922,0.030621710053845706,0.034235753,0.034049269632586775,-1.4815456867218018,-1.4545852315340206,-0.03081592172384262
task1,test_task2,1,2,0.21143161,0.20892128106952482,0.25668326,0.23774540457456664,-87.60944366455078,-75.01673063382194,-0.2114316076040268
task2,full_test,2,-1,0.06414148,0.06406876025448738,0.0831839,0.0830966878896787,0.02255702018737793,0.02460549605870077,-0.06414148211479187
task2,test_task0,2,0,0.022815809,0.022816974632911182,0.023477763,0.023463013917445204,-19.661788940429688,-19.635835302624777,-0.022815808653831482
task2,test_task1,2,1,0.033981636,0.033983210632304174,0.038137436,0.03806078765206593,-2.0793955326080322,-2.0670302459203462,-0.03398163616657257
task2,test_task2,2,2,0.077001356,0.07326071995553587,0.088525146,0.07946704627470993,-9.539457321166992,-7.492959770850328,-0.07700135558843613
