trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.041300606,0.04113449254911388,0.054817617,0.05459471968437356,0.5755239725112915,0.5789689186910701,-0.04130060598254204
task1,test_task0,1,0,0.01747977,0.017087749382234407,0.01961335,0.018387863120251202,-13.419760704040527,-11.67409566829973,-0.01747976988554001
task1,test_task1,1,1,0.031760395,0.03156273709893388,0.036451314,0.03625004901823631,-1.813124179840088,-1.782144687340451,-0.03176039457321167
task1,test_task2,1,2,0.2015491,0.19901050320929525,0.23441125,0.2229824801440683,-72.8995590209961,-65.86924324027211,-0.20154909789562225
task2,full_test,2,-1,0.064001694,0.06396640459189522,0.08120578,0.08111262090944951,0.06849169731140137,0.07062765405280425,-0.06400169432163239
task2,test_task0,2,0,0.028844817,0.028751011660489406,0.030587016,0.03052803143782897,-34.06942367553711,-33.934300940394664,-0.028844816610217094
task2,test_task1,2,1,0.030490074,0.030440390512839303,0.034922455,0.03474228177945203,-1.5820939540863037,-1.5555194597185125,-0.030490074306726456
task2,test_task2,2,2,0.060354117,0.05590937163668036,0.070881546,0.06641259555949139,-5.756958484649658,-4.931790889771892,-0.060354117304086685
