epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0341833889034088,0.0018105589735385563,0.0,0.0,0.0,0.0,0.0,0.0001,107.3747148513794
1,0.007452370173116447,0.0009682664125513159,0.0,0.0,0.0,0.0,0.0,0.0001,102.40222311019897
2,0.0056414652602602595,0.0011449087113494234,0.0,0.0,0.0,0.0,0.0,0.0001,102.04629015922546
3,0.004638859916581852,0.0005009434105331532,0.0,0.0,0.0,0.0,0.0,0.0001,102.00534749031067
4,0.0037085363912200352,0.001020783120375514,0.0,0.0,0.0,0.0,0.0,0.0001,101.9415385723114
5,0.002845369854782415,0.00038384924479144836,0.0,0.0,0.0,0.0,0.0,0.0001,101.69095945358276
6,0.0019421369396270156,0.0003466020740066581,0.0,0.0,0.0,0.0,0.0,0.0001,101.60872006416321
7,0.001374477534049623,0.000235358877901477,0.0,0.0,0.0,0.0,0.0,0.0001,101.82122802734375
8,0.001136400383246815,0.0002873056698012691,0.0,0.0,0.0,0.0,0.0,0.0001,101.91972064971924
9,0.0008587499468018549,0.0009257041117799518,0.0,0.0,0.0,0.0,0.0,0.0001,102.14983344078064
10,0.0006458426692941797,0.0009103204335194277,0.0,0.0,0.0,0.0,0.0,0.0001,100.7931694984436
11,0.0005321540643699718,0.0012564984550727132,0.0,0.0,0.0,0.0,0.0,0.0001,102.19911193847656
12,0.0004721299663231581,0.008528246885802804,0.0,0.0,0.0,0.0,0.0,0.0001,102.6438455581665
13,0.0004520592134173515,0.0026869809688442664,0.0,0.0,0.0,0.0,0.0,5e-05,102.5078182220459
14,0.0003162512807423244,0.011495170841542633,0.0,0.0,0.0,0.0,0.0,5e-05,103.55386519432068
15,0.00020441936333727057,0.011449966391969308,0.0,0.0,0.0,0.0,0.0,5e-05,114.81078672409058
16,0.00028453645628152575,0.005056121189120342,0.0,0.0,0.0,0.0,0.0,5e-05,111.68873047828674
17,0.0004223186078450601,0.007174852805058384,0.0,0.0,0.0,0.0,0.0,5e-05,110.55843043327332
18,0.00024178235944161223,0.007741239356737516,0.0,0.0,0.0,0.0,0.0,5e-05,106.78159856796265
19,0.00017374384764934058,0.00825100585344535,0.0,0.0,0.0,0.0,0.0,2.5e-05,107.48208928108215
20,0.00011908467207709644,0.007034786744601703,0.0,0.0,0.0,0.0,0.0,2.5e-05,106.77318096160889
21,0.00010880843898079181,0.004968442074578476,0.0,0.0,0.0,0.0,0.0,2.5e-05,107.00200891494751
22,9.982576559704443e-05,0.005410519438874089,0.0,0.0,0.0,0.0,0.0,2.5e-05,101.11373949050903
23,9.672316536353716e-05,0.004867258980967748,0.0,0.0,0.0,0.0,0.0,2.5e-05,100.41911673545837
24,9.051768627792129e-05,0.004227522650999837,0.0,0.0,0.0,0.0,0.0,2.5e-05,101.00396585464478
25,8.646949663855977e-05,0.008712453275138107,0.0,0.0,0.0,0.0,0.0,1.25e-05,100.30207180976868
26,8.001972699697969e-05,0.004111769501440727,0.0,0.0,0.0,0.0,0.0,1.25e-05,99.52001547813416
27,7.800807950968069e-05,0.004462383512855597,0.0,0.0,0.0,0.0,0.0,1.25e-05,98.69516682624817
