trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.026982151,0.027060075933263608,0.031536113,0.03159851239871617,0.8595152497291565,0.8589587490823918,-0.026982150971889496
task1,test_task0,1,0,0.050581325,0.026770452106120696,0.059847537,0.030006463595285242,-133.26011657714844,-32.75080114400718,-0.050581324845552444
task1,test_task1,1,1,0.022323685,0.0223446044861398,0.026097188,0.026067128331250727,-0.44194912910461426,-0.43862928202467133,-0.02232368476688862
task1,test_task2,1,2,0.054350097,0.053095907834716016,0.06379079,0.06268011142999338,-4.472691059112549,-4.283776570572029,-0.054350096732378006
task2,full_test,2,-1,0.03762242,0.037700204853768494,0.04355538,0.043614201691083224,0.7320236563682556,0.7312993408690256,-0.037622418254613876
task2,test_task0,2,0,0.030847616,0.029938466209629817,0.03938358,0.03858108275698482,-57.14130401611328,-54.79602755166014,-0.030847616493701935
task2,test_task1,2,1,0.022201087,0.021907198433212954,0.024356784,0.023913402856705478,-0.25603699684143066,-0.21072434769823656,-0.022201087325811386
task2,test_task2,2,2,0.032997224,0.033208309668238484,0.033925287,0.03386514734002126,-0.5478612184524536,-0.5423781492498512,-0.03299722447991371
