trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.0424174,0.04230346054427728,0.052615616,0.052344855690613916,0.6089410781860352,0.6129555090734039,-0.04241739958524704
task1,test_task0,1,0,0.022702144,0.02128150923294381,0.034181576,0.029758106977187997,-42.79642868041992,-32.19441795770114,-0.02270214445888996
task1,test_task1,1,1,0.043004055,0.04261502055498325,0.046407055,0.0458051208372168,-3.5596399307250977,-3.4421230233298674,-0.043004054576158524
task1,test_task2,1,2,0.18046398,0.17767861444740793,0.2207208,0.19982999587624198,-64.5196304321289,-52.70395668263396,-0.1804639846086502
task2,full_test,2,-1,0.06198419,0.06185149389781741,0.077260986,0.07706024515607264,0.15679460763931274,0.16117058915073257,-0.061984188854694366
task2,test_task0,2,0,0.03980286,0.03983343907803274,0.040935546,0.040954566081272833,-61.81387710571289,-61.87226617598085,-0.03980286046862602
task2,test_task1,2,1,0.030201344,0.029915019087942186,0.035769124,0.035533631935924744,-1.7088136672973633,-1.6732631678920398,-0.030201343819499016
task2,test_task2,2,2,0.06540509,0.059433409932337485,0.08491944,0.07671451059906569,-8.698379516601562,-6.914800319820354,-0.06540509313344955
