trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.029907668,0.02995774673236112,0.035328943,0.03537835129715974,0.8236911296844482,0.823197640467935,-0.029907668009400368
task1,test_task0,1,0,0.05651479,0.056530695486325395,0.056927647,0.056899402443047774,-120.47891998291016,-120.35840712749959,-0.056514788419008255
task1,test_task1,1,1,0.013185614,0.013263458717596521,0.014659407,0.014579391838763842,0.545016884803772,0.5499701383206841,-0.013185613788664341
task1,test_task2,1,2,0.036172934,0.036341890782328516,0.037986014,0.038070743684999984,-0.9405835866928101,-0.9492504632845296,-0.036172933876514435
task2,full_test,2,-1,0.030417155,0.030499459617936524,0.03544212,0.035511872927619384,0.8225597143173218,0.821860580600164,-0.030417155474424362
task2,test_task0,2,0,0.020541495,0.02054000812128,0.022398716,0.022194620900222433,-17.806184768676758,-17.465025823735946,-0.020541494712233543
task2,test_task1,2,1,0.018604448,0.0183615163695198,0.022643317,0.02228715290310124,-0.08553194999694824,-0.05165114951279359,-0.018604448065161705
task2,test_task2,2,2,0.009051242,0.008804795637611997,0.01109268,0.010471134499338033,0.8345153331756592,0.8525406208246957,-0.009051241911947727
