epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0020958219027875776,0.0008792585767038717,0.0,0.0,0.0,0.0,0.0,0.0001,61.21428442001343
1,0.0016442062051446737,0.0007195351123978854,0.0,0.0,0.0,0.0,0.0,0.0001,61.38872241973877
2,0.0015008987342896509,0.00047417110290557513,0.0,0.0,0.0,0.0,0.0,0.0001,71.59033632278442
3,0.0012993775501021036,0.0003732878340018659,0.0,0.0,0.0,0.0,0.0,0.0001,71.2166817188263
4,0.0010589668631927225,0.00047771508549653376,0.0,0.0,0.0,0.0,0.0,0.0001,80.12898445129395
5,0.0008424883186150706,0.0004057591168786392,0.0,0.0,0.0,0.0,0.0,0.0001,82.63153266906738
6,0.0007058794689078693,0.0006250037063901434,0.0,0.0,0.0,0.0,0.0,0.0001,83.4942638874054
7,0.0006862792600455503,0.00024323012685524589,0.0,0.0,0.0,0.0,0.0,0.0001,73.93077945709229
8,0.0005568833348490118,0.00024353491900414555,0.0,0.0,0.0,0.0,0.0,0.0001,61.22365975379944
9,0.0004962363025424936,0.00030655988270547114,0.0,0.0,0.0,0.0,0.0,0.0001,75.11839079856873
10,0.00046588745384686916,0.0005896746915632745,0.0,0.0,0.0,0.0,0.0,0.0001,79.20155191421509
11,0.0004222983815438782,0.0002048240683126537,0.0,0.0,0.0,0.0,0.0,0.0001,89.02257585525513
12,0.0003980811455284392,0.0001750693840395184,0.0,0.0,0.0,0.0,0.0,0.0001,89.57475113868713
13,0.00038328828896238627,0.00024894874059400374,0.0,0.0,0.0,0.0,0.0,0.0001,88.83932948112488
14,0.00037673827582856767,0.0003129591512711091,0.0,0.0,0.0,0.0,0.0,0.0001,90.38854312896729
15,0.0004421347346673489,0.0007263422539307848,0.0,0.0,0.0,0.0,0.0,0.0001,86.86033415794373
16,0.0003453071580186343,8.646874293930904e-05,0.0,0.0,0.0,0.0,0.0,0.0001,86.89166498184204
17,0.0003333620928843028,0.0003354945893244552,0.0,0.0,0.0,0.0,0.0,0.0001,86.69383716583252
18,0.000320186546371884,0.0003628716777216396,0.0,0.0,0.0,0.0,0.0,0.0001,84.52478981018066
19,0.00031643660763581793,0.0003899427794025103,0.0,0.0,0.0,0.0,0.0,0.0001,87.78355002403259
20,0.0003024550013073738,0.0005717831951940673,0.0,0.0,0.0,0.0,0.0,0.0001,89.2758240699768
21,0.0002992808249833836,0.0004457520709186505,0.0,0.0,0.0,0.0,0.0,0.0001,85.8407039642334
22,0.00029358305810174193,0.000846122767790823,0.0,0.0,0.0,0.0,0.0,5e-05,82.36811256408691
23,0.0002610703432749075,0.0005815184011497439,0.0,0.0,0.0,0.0,0.0,5e-05,89.13714981079102
24,0.0002585682714121688,0.0008932769153644193,0.0,0.0,0.0,0.0,0.0,5e-05,84.05770897865295
25,0.00025898811984332654,0.0010854895671256373,0.0,0.0,0.0,0.0,0.0,5e-05,87.42701125144958
26,0.00038519929179819533,0.0006427185969269609,0.0,0.0,0.0,0.0,0.0,5e-05,87.2927417755127
27,0.0002901048522067104,0.00036897460793200904,0.0,0.0,0.0,0.0,0.0,5e-05,86.50495934486389
28,0.0002531134473898199,0.0003526054443873938,0.0,0.0,0.0,0.0,0.0,2.5e-05,58.72885727882385
29,0.00023925832946055642,0.0005717192756489678,0.0,0.0,0.0,0.0,0.0,2.5e-05,44.33146834373474
30,0.0002332262273130476,0.000561645623101925,0.0,0.0,0.0,0.0,0.0,2.5e-05,44.157374143600464
31,0.00022947673651734174,0.0004924976689504107,0.0,0.0,0.0,0.0,0.0,2.5e-05,43.928107023239136
32,0.00022484519819201788,0.0008601433200386638,0.0,0.0,0.0,0.0,0.0,2.5e-05,44.919464349746704
33,0.00022526090217998571,0.0010945271679349926,0.0,0.0,0.0,0.0,0.0,2.5e-05,43.32346034049988
34,0.00022880706168061874,0.0006624274390542578,0.0,0.0,0.0,0.0,0.0,1.25e-05,46.690406799316406
35,0.00021314805465936408,0.001078316669644362,0.0,0.0,0.0,0.0,0.0,1.25e-05,44.086838722229004
36,0.0002079641118045045,0.00118098291788706,0.0,0.0,0.0,0.0,0.0,1.25e-05,43.651750326156616
