epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0341833889034088,0.0341833889034088,0.0,0.0,0.0018105589735385563,0.0,0.0,0.0,0.0,0.0,0.0001,164.10289120674133
1,0.007452370173116447,0.007452370173116447,0.0,0.0,0.0009682664125513159,0.0,0.0,0.0,0.0,0.0,0.0001,165.06407475471497
2,0.0056414652602602595,0.0056414652602602595,0.0,0.0,0.0011449087113494234,0.0,0.0,0.0,0.0,0.0,0.0001,162.37757420539856
3,0.004638859916581852,0.004638859916581852,0.0,0.0,0.0005009434105331532,0.0,0.0,0.0,0.0,0.0,0.0001,149.82316827774048
4,0.0037085363912200352,0.0037085363912200352,0.0,0.0,0.001020783120375514,0.0,0.0,0.0,0.0,0.0,0.0001,170.47143125534058
5,0.002845369854782415,0.002845369854782415,0.0,0.0,0.00038384924479144836,0.0,0.0,0.0,0.0,0.0,0.0001,163.91693568229675
6,0.0019421369396270156,0.0019421369396270156,0.0,0.0,0.0003466020740066581,0.0,0.0,0.0,0.0,0.0,0.0001,138.47786569595337
7,0.001374477534049623,0.001374477534049623,0.0,0.0,0.000235358877901477,0.0,0.0,0.0,0.0,0.0,0.0001,131.60639429092407
8,0.001136400383246815,0.001136400383246815,0.0,0.0,0.0002873056698012691,0.0,0.0,0.0,0.0,0.0,0.0001,156.0815486907959
9,0.0008587499468018549,0.0008587499468018549,0.0,0.0,0.0009257041117799518,0.0,0.0,0.0,0.0,0.0,0.0001,169.19888401031494
10,0.0006458426692941797,0.0006458426692941797,0.0,0.0,0.0009103204335194277,0.0,0.0,0.0,0.0,0.0,0.0001,171.42650246620178
11,0.0005321540643699718,0.0005321540643699718,0.0,0.0,0.0012564984550727132,0.0,0.0,0.0,0.0,0.0,0.0001,171.02918601036072
12,0.0004721299663231581,0.0004721299663231581,0.0,0.0,0.008528246885802804,0.0,0.0,0.0,0.0,0.0,0.0001,171.6841733455658
13,0.0004520592134173515,0.0004520592134173515,0.0,0.0,0.0026869809688442664,0.0,0.0,0.0,0.0,0.0,5e-05,172.03991842269897
14,0.0003162512807423244,0.0003162512807423244,0.0,0.0,0.011495170841542633,0.0,0.0,0.0,0.0,0.0,5e-05,173.40305829048157
15,0.00020441936333727057,0.00020441936333727057,0.0,0.0,0.011449966391969308,0.0,0.0,0.0,0.0,0.0,5e-05,169.50909328460693
16,0.00028453645628152575,0.00028453645628152575,0.0,0.0,0.005056121189120342,0.0,0.0,0.0,0.0,0.0,5e-05,167.67382049560547
17,0.0004223186078450601,0.0004223186078450601,0.0,0.0,0.007174852805058384,0.0,0.0,0.0,0.0,0.0,5e-05,161.97431349754333
18,0.00024178235944161223,0.00024178235944161223,0.0,0.0,0.007741239356737516,0.0,0.0,0.0,0.0,0.0,5e-05,161.94593119621277
19,0.00017374384764934058,0.00017374384764934058,0.0,0.0,0.00825100585344535,0.0,0.0,0.0,0.0,0.0,2.5e-05,167.6872570514679
20,0.00011908467207709644,0.00011908467207709644,0.0,0.0,0.007034786744601703,0.0,0.0,0.0,0.0,0.0,2.5e-05,165.1343777179718
21,0.00010880843898079181,0.00010880843898079181,0.0,0.0,0.004968442074578476,0.0,0.0,0.0,0.0,0.0,2.5e-05,148.66845440864563
22,9.982576559704443e-05,9.982576559704443e-05,0.0,0.0,0.005410519438874089,0.0,0.0,0.0,0.0,0.0,2.5e-05,147.4098505973816
23,9.672316536353716e-05,9.672316536353716e-05,0.0,0.0,0.004867258980967748,0.0,0.0,0.0,0.0,0.0,2.5e-05,152.11352133750916
24,9.051768627792129e-05,9.051768627792129e-05,0.0,0.0,0.004227522650999837,0.0,0.0,0.0,0.0,0.0,2.5e-05,109.8595507144928
25,8.646949663855977e-05,8.646949663855977e-05,0.0,0.0,0.008712453275138107,0.0,0.0,0.0,0.0,0.0,1.25e-05,96.91477751731873
26,8.001972699697969e-05,8.001972699697969e-05,0.0,0.0,0.004111769501440727,0.0,0.0,0.0,0.0,0.0,1.25e-05,101.67212200164795
27,7.800807950968069e-05,7.800807950968069e-05,0.0,0.0,0.004462383512855597,0.0,0.0,0.0,0.0,0.0,1.25e-05,99.31404137611389
