number,values_0,params_lambda0
0,0.019869333133101463,0.20059560245279648
1,0.04965342581272125,20.218499516556736
2,0.03720029070973396,3.5093904781414595
3,0.030663125216960907,1.2067245262919604
4,0.03741379827260971,0.034873515599526915
5,0.019426552578806877,0.034866781670451236
6,0.027092473581433296,0.015920758785234034
7,0.022401079535484314,10.275417738969418
8,0.07235796004533768,1.2306931514988035
9,0.03253801912069321,2.897705266717829
10,0.030193224549293518,0.12094432116027981
11,0.0523265041410923,0.12169536476510882
12,0.043340053409338,0.1088015840065124
13,0.11266352981328964,0.3189226547911237
14,0.047511372715234756,0.013632766689587919
15,0.027115821838378906,0.04300597533854307
16,0.03962893411517143,0.295092123550363
17,0.033732492476701736,0.04471453025869385
18,0.03528827056288719,0.5247328025041017
19,0.02512001246213913,0.07536380660939404
20,0.03244975581765175,0.011227811461773846
21,0.03678088262677193,19.43994716498063
22,0.03516700491309166,5.966058618194719
23,0.05476249381899834,8.950214274917975
24,0.035577498376369476,0.25181208706193786
25,0.030989980325102806,1.4262466642634184
26,0.03251801058650017,0.026095520083131835
27,0.0510469414293766,0.19532042138884464
28,0.06995762884616852,0.5948139833137771
29,0.02094750665128231,12.830437824665312
