trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.027128309,0.02715530968722945,0.03164944,0.031612669078996,0.8585037589073181,0.8588323429311793,-0.02712830901145935
task1,test_task0,1,0,0.030224621,0.03009525190065886,0.03653458,0.03555186616148015,-49.033714294433594,-46.37827683844299,-0.030224621295928955
task1,test_task1,1,1,0.02343563,0.023445668677421982,0.025494687,0.02543469785991339,-0.3761378526687622,-0.3696691743081857,-0.023435629904270172
task1,test_task2,1,2,0.065460145,0.06579346483299271,0.06789268,0.0679472740785933,-5.199130058288574,-5.20910496512372,-0.06546014547348022
task2,full_test,2,-1,0.033021167,0.03310176845673428,0.039354373,0.0393937941764342,0.7812243700027466,0.7807858925796474,-0.033021166920661926
task2,test_task0,2,0,0.026283935,0.026266780391982436,0.028025258,0.027966254131551134,-28.441076278686523,-28.317238239808106,-0.026283934712409973
task2,test_task1,2,1,0.019605653,0.019518672023953666,0.02125169,0.02110883247564495,0.04379850625991821,0.05661070858019812,-0.01960565336048603
task2,test_task2,2,2,0.013767334,0.012506958424623267,0.016801374,0.015160658554875313,0.6203577518463135,0.6908843034714647,-0.013767333701252937
