trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.08261233,0.08259896384896359,0.10539412,0.10534237444538487,-0.5690820217132568,-0.5675416285700978,-0.08261232823133469
task0,test_task0,0,0,0.029095922,0.02909881404900742,0.029758492,0.029732164020422853,-32.19527816772461,-32.13656575811894,-0.02909592166543007
task0,test_task1,0,1,0.0777316,0.07774664039676908,0.079824544,0.07977746674458785,-12.490729331970215,-12.474820818847911,-0.07773160189390182
task0,test_task2,0,2,0.26696062,0.26433882267284925,0.27813,0.27521363098925167,-103.03527069091797,-100.86495680728852,-0.26696062088012695
task1,full_test,1,-1,0.026340747,0.026387585198984428,0.031942256,0.031712328590641305,0.8558734059333801,0.8579408727649782,-0.026340747252106667
task1,test_task0,1,0,0.108789966,0.09915075767011819,0.11839825,0.10615029204283247,-524.4664916992188,-421.3736758927319,-0.10878996551036835
task1,test_task1,1,1,0.045029208,0.04508678694229789,0.04676729,0.046786832036579365,-3.630703926086426,-3.634573727772217,-0.045029208064079285
task1,test_task2,1,2,0.04207644,0.04194923700073624,0.050923463,0.04981505842951679,-2.4875526428222656,-2.3373842583542244,-0.042076438665390015
task2,full_test,2,-1,0.043063894,0.0431257179957875,0.050020564,0.04989053762183627,0.6465646028518677,0.6483996939644214,-0.04306389391422272
task2,test_task0,2,0,0.04364657,0.04366659509738964,0.044545285,0.044551286797851315,-73.38030242919922,-73.40034709442044,-0.043646570295095444
task2,test_task1,2,1,0.0154155195,0.015244590063427599,0.017247025,0.017082965725674,0.3702170252799988,0.3821414586836114,-0.01541551947593689
task2,test_task2,2,2,0.019320834,0.016947523164904128,0.02670212,0.02343277784205744,0.04109311103820801,0.26153064894349776,-0.019320834428071976
