epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.05225355173622435,0.05225355173622435,0.0,0.0,0.0016396709097872037,0.0,0.0,0.0,0.0,0.0,5e-05,100.26486039161682
1,0.009788112688961544,0.009788112688961544,0.0,0.0,0.0005420106643670024,0.0,0.0,0.0,0.0,0.0,5e-05,105.25624394416809
2,0.00694060404487705,0.00694060404487705,0.0,0.0,0.000374645313784509,0.0,0.0,0.0,0.0,0.0,5e-05,104.1484124660492
3,0.0060859917975021015,0.0060859917975021015,0.0,0.0,0.0007179389003373165,0.0,0.0,0.0,0.0,0.0,5e-05,102.17583632469177
4,0.0053301843558268966,0.0053301843558268966,0.0,0.0,0.0010878913656189437,0.0,0.0,0.0,0.0,0.0,5e-05,101.83291625976562
5,0.004750048497961085,0.004750048497961085,0.0,0.0,0.0002403796183917834,0.0,0.0,0.0,0.0,0.0,5e-05,100.31010723114014
6,0.003947874844754789,0.003947874844754789,0.0,0.0,0.00027288801399104085,0.0,0.0,0.0,0.0,0.0,5e-05,104.69472169876099
7,0.0033023523742157137,0.0033023523742157137,0.0,0.0,0.00028707246769299754,0.0,0.0,0.0,0.0,0.0,5e-05,105.25913405418396
8,0.002898912925106428,0.002898912925106428,0.0,0.0,0.0003860304370729578,0.0,0.0,0.0,0.0,0.0,5e-05,101.74223446846008
9,0.002479200834302109,0.002479200834302109,0.0,0.0,0.00047058783990270073,0.0,0.0,0.0,0.0,0.0,5e-05,101.22715711593628
10,0.002101641231804051,0.002101641231804051,0.0,0.0,0.0003209131373235376,0.0,0.0,0.0,0.0,0.0,5e-05,100.5162992477417
11,0.0017585701980233673,0.0017585701980233673,0.0,0.0,0.0005731797733655189,0.0,0.0,0.0,0.0,0.0,2.5e-05,100.18245720863342
12,0.0014903706662407709,0.0014903706662407709,0.0,0.0,0.00043886339623010857,0.0,0.0,0.0,0.0,0.0,2.5e-05,101.13288569450378
13,0.0013589425434254526,0.0013589425434254526,0.0,0.0,0.00039898387824394713,0.0,0.0,0.0,0.0,0.0,2.5e-05,103.7319917678833
14,0.0012418825177450492,0.0012418825177450492,0.0,0.0,0.0003185267729688439,0.0,0.0,0.0,0.0,0.0,2.5e-05,101.51708984375
15,0.0011448542673541493,0.0011448542673541493,0.0,0.0,0.0006529435779342167,0.0,0.0,0.0,0.0,0.0,2.5e-05,100.27826189994812
16,0.0010386789671941162,0.0010386789671941162,0.0,0.0,0.0004728486936353245,0.0,0.0,0.0,0.0,0.0,2.5e-05,100.04089117050171
17,0.000960823340626935,0.000960823340626935,0.0,0.0,0.0007200046211519165,0.0,0.0,0.0,0.0,0.0,1.25e-05,101.91359853744507
18,0.0008806415665231232,0.0008806415665231232,0.0,0.0,0.0013992314466353764,0.0,0.0,0.0,0.0,0.0,1.25e-05,100.17939400672913
19,0.0008415845519828038,0.0008415845519828038,0.0,0.0,0.001738665750976312,0.0,0.0,0.0,0.0,0.0,1.25e-05,99.82783269882202
20,0.0008169813486753991,0.0008169813486753991,0.0,0.0,0.0003422219120969282,0.0,0.0,0.0,0.0,0.0,1.25e-05,102.25505495071411
21,0.0007720386518231711,0.0007720386518231711,0.0,0.0,0.002750040614663956,0.0,0.0,0.0,0.0,0.0,1.25e-05,100.63665652275085
22,0.0007454927463089043,0.0007454927463089043,0.0,0.0,0.0016091766849950916,0.0,0.0,0.0,0.0,0.0,1.25e-05,101.14483141899109
23,0.0007231253712292466,0.0007231253712292466,0.0,0.0,0.0016190888457767694,0.0,0.0,0.0,0.0,0.0,6.25e-06,101.23427510261536
24,0.0006963583623773464,0.0006963583623773464,0.0,0.0,0.0016526230120841087,0.0,0.0,0.0,0.0,0.0,6.25e-06,101.506432056427
25,0.0006911358593109466,0.0006911358593109466,0.0,0.0,0.0016168790021779263,0.0,0.0,0.0,0.0,0.0,6.25e-06,100.28104090690613
