trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.03254833,0.032439801110667854,0.040967185,0.040716838142639454,0.762925386428833,0.7658139789622394,-0.03254833072423935
task1,test_task0,1,0,0.03401763,0.031884642278244016,0.050830413,0.04585438734566123,-95.8504638671875,-77.8163370103193,-0.03401762992143631
task1,test_task1,1,1,0.035093095,0.03504406773023712,0.040444124,0.04026796841206169,-2.4631667137145996,-2.433064430659461,-0.035093095153570175
task1,test_task2,1,2,0.061165508,0.06096621704538428,0.07100762,0.07037655873183786,-5.7810163497924805,-5.661023699953288,-0.06116550788283348
task2,full_test,2,-1,0.053165678,0.053135677916029016,0.06684133,0.06665994545046505,0.368893027305603,0.3723135053938853,-0.053165677934885025
task2,test_task0,2,0,0.036498908,0.03452860199513,0.0449443,0.04027168237354675,-74.71879577636719,-59.793059776168725,-0.03649890795350075
task2,test_task1,2,1,0.022295184,0.01968049031992894,0.027652008,0.02367388682812407,-0.6188845634460449,-0.1865926393352313,-0.022295184433460236
task2,test_task2,2,2,0.08795883,0.08792703247114646,0.09541884,0.09482609985737066,-11.244842529296875,-11.093185156909321,-0.08795882761478424
