trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.020372031,0.020425540399527976,0.023543717,0.02356602706060655,0.9216997623443604,0.9215513235750284,-0.02037203125655651
task1,test_task0,1,0,0.03238534,0.032412182098360054,0.033737794,0.03373924520268335,-41.66658020019531,-41.67024944623237,-0.032385341823101044
task1,test_task1,1,1,0.006757024,0.006718052761576256,0.008089826,0.007957721175153974,0.8614389896392822,0.8659274245529465,-0.006757024209946394
task1,test_task2,1,2,0.057024796,0.05744690088323477,0.05941039,0.059764016622340314,-3.7468957901000977,-3.803573948066977,-0.057024795562028885
task2,full_test,2,-1,0.020247802,0.020321829829299143,0.024467915,0.024502738147754485,0.9154318571090698,0.9151909664210195,-0.020247802138328552
task2,test_task0,2,0,0.045150347,0.0319540818741743,0.055042583,0.041489746676950906,-112.56697845458984,-63.5261900545289,-0.04515034705400467
task2,test_task1,2,1,0.020396482,0.02013996193265137,0.02200757,0.021687996913034236,-0.025431513786315918,0.004132862911338964,-0.020396482199430466
task2,test_task2,2,2,0.020560095,0.02072810358461476,0.022855692,0.02305734490091608,0.2974557876586914,0.28500415672463364,-0.020560095086693764
