trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.03704942,0.03698189259767089,0.050777286,0.050672621373555146,0.6357899904251099,0.6372899244980147,-0.037049420177936554
task1,test_task0,1,0,0.04272178,0.04242129185501803,0.04364401,0.04341073357575345,-70.40091705322266,-69.63967724391456,-0.04272177815437317
task1,test_task1,1,1,0.06073482,0.060856930132231445,0.06320902,0.06324757833396497,-7.459031105041504,-7.469354645737333,-0.0607348196208477
task1,test_task2,1,2,0.053571917,0.053494221149254624,0.06183217,0.061527482708118995,-4.141785144805908,-4.091235885757413,-0.053571917116642
task2,full_test,2,-1,0.04697797,0.04682901311604895,0.058256563,0.058196467473703134,0.5205950140953064,0.5215835280223475,-0.046977970749139786
task2,test_task0,2,0,0.13207684,0.12059368986244291,0.16507992,0.13169325056113187,-1020.5108642578125,-649.1019840184535,-0.13207684457302094
task2,test_task1,2,1,0.02924263,0.02923398846288445,0.033355083,0.033293711390770045,-1.3555190563201904,-1.3468586694946425,-0.029242629185318947
task2,test_task2,2,2,0.044253293,0.04412929220817012,0.048344016,0.04767693843500085,-2.1431884765625,-2.057043679520673,-0.04425329342484474
