trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.08112532,0.08113244907063345,0.10282242,0.10282021227192704,-0.4934426546096802,-0.4933784114914539,-0.08112531900405884
task0,test_task0,0,0,0.031550102,0.03155496284166191,0.032094873,0.03209571260536073,-37.61231231689453,-37.61432981900401,-0.031550101935863495
task0,test_task1,0,1,0.07871115,0.0787415905776491,0.08028843,0.08029944342343334,-12.647982597351074,-12.651726715191687,-0.07871115207672119
task0,test_task2,0,2,1.7590408,1.753020357514217,2.2599564,2.210874723472481,-6867.86669921875,-6572.750155021201,-1.7590408325195312
task1,full_test,1,-1,0.020400396,0.02046006610476229,0.023896908,0.023951658421356343,0.9193329215049744,0.9189628692854279,-0.020400395616889
task1,test_task0,1,0,0.022752639,0.022618627919811538,0.026477953,0.02609732204333908,-25.279874801635742,-24.52973731915937,-0.022752638906240463
task1,test_task1,1,1,0.009020724,0.009022277014778332,0.011731636,0.011678535301119794,0.7086066007614136,0.7112385118235055,-0.009020724333822727
task1,test_task2,1,2,0.07036534,0.07079787613645633,0.07450339,0.0749196507071246,-6.465123653411865,-6.548773817815451,-0.07036533951759338
task2,full_test,2,-1,0.0441849,0.044273839219728085,0.046353117,0.04643402383232845,0.6964915990829468,0.6954311268920845,-0.04418490082025528
task2,test_task0,2,0,0.037548263,0.037028552351318134,0.04000051,0.039589470430605615,-58.97710037231445,-57.75080768421397,-0.037548262625932693
task2,test_task1,2,1,0.025851183,0.025759421564078865,0.026798408,0.026604964160791295,-0.5204792022705078,-0.49860739779806895,-0.025851182639598846
task2,test_task2,2,2,0.010325019,0.010445034192587894,0.01334111,0.012820755510655243,0.7606304287910461,0.7789389839802809,-0.010325019247829914
