trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.033499602,0.03358475798304033,0.037115857,0.037033786709593355,0.8054049015045166,0.8062645398806196,-0.03349960222840309
task1,test_task0,1,0,0.047623813,0.047657767081603436,0.04905287,0.04904841192156205,-89.19518280029297,-89.1787804051044,-0.04762381315231323
task1,test_task1,1,1,0.02167996,0.021777324864002266,0.022838715,0.022858880886091622,-0.104347825050354,-0.10629880910678136,-0.021679960191249847
task1,test_task2,1,2,0.04683961,0.04668196986339427,0.06204811,0.061081755121658234,-4.177762031555176,-4.0177375286375625,-0.04683960974216461
task2,full_test,2,-1,0.024009125,0.02396325386112775,0.026798464,0.026685894101613653,0.8985545039176941,0.8994050004366492,-0.02400912530720234
task2,test_task0,2,0,0.040732276,0.040764454431844045,0.041722845,0.04174057291105406,-64.2532730102539,-64.30873443410354,-0.04073227569460869
task2,test_task1,2,1,0.014876605,0.014672723772053827,0.016426165,0.016196432581748507,0.4287385940551758,0.44460591410960715,-0.01487660501152277
task2,test_task2,2,2,0.02145247,0.02020317613790579,0.028092982,0.02641480030581717,-0.061403751373291016,0.06161817270063019,-0.021452469751238823
