trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.025613096,0.025679450725127558,0.030282173,0.03009494830988689,0.8704650402069092,0.8720618460143083,-0.025613095611333847
task1,test_task0,1,0,0.04880508,0.048443456824614914,0.055734083,0.05531206795269041,-115.43838500976562,-113.6817332618777,-0.048805080354213715
task1,test_task1,1,1,0.020781621,0.02086052077503933,0.022284096,0.022192950193605062,-0.05136263370513916,-0.04277975903733022,-0.02078162133693695
task1,test_task2,1,2,0.026810993,0.024672822093478496,0.03192006,0.029843056459783336,-0.37028956413269043,-0.1977647456876106,-0.026810992509126663
task2,full_test,2,-1,0.039750468,0.03982373183027877,0.048655365,0.04867870451261298,0.6655937433242798,0.665272880507181,-0.039750467985868454
task2,test_task0,2,0,0.05589689,0.05560171399207199,0.0597282,0.059543062132440296,-132.7252197265625,-131.89749271325346,-0.05589688941836357
task2,test_task1,2,1,0.023639956,0.023513059158213088,0.025844898,0.025662597859514996,-0.41420435905456543,-0.39432416007681903,-0.02363995648920536
task2,test_task2,2,2,0.025671605,0.023721736707424758,0.042499866,0.03307365916141025,-1.4291820526123047,-0.47112446538645014,-0.02567160502076149
