trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.022953795,0.023026977125775984,0.02571575,0.025785404287767724,0.9065861701965332,0.9060794198215322,-0.02295379526913166
task1,test_task0,1,0,0.03517461,0.03519924031881511,0.03657415,0.03656788775609091,-49.14215087890625,-49.12497939272418,-0.03517460823059082
task1,test_task1,1,1,0.012654743,0.01270613451859521,0.014156881,0.01415951427710394,0.575675904750824,0.5755180505698236,-0.012654743157327175
task1,test_task2,1,2,0.031547174,0.03181129773189294,0.034347154,0.03418480851614107,-0.5865962505340576,-0.5716333219281438,-0.031547173857688904
task2,full_test,2,-1,0.030895924,0.0309782090171598,0.034464885,0.034498160993692954,0.8322098255157471,0.831885657758838,-0.03089592419564724
task2,test_task0,2,0,0.024833543,0.024825766776671802,0.026376868,0.026266007711637684,-25.07959747314453,-24.860837865970815,-0.024833543226122856
task2,test_task1,2,1,0.023275334,0.023137421401082384,0.024373304,0.024150104704227664,-0.2577413320541382,-0.23481117644120442,-0.023275334388017654
task2,test_task2,2,2,0.02518561,0.02556584465014409,0.027926728,0.027660371077954937,-0.04887819290161133,-0.028965773916416193,-0.025185609236359596
