trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.03704942,0.03698189259767089,0.050777286,0.050672621373555146,0.6357899904251099,0.6372899244980147,-0.037049420177936554
task1,test_task0,1,0,0.04272178,0.04242129185501803,0.04364401,0.04341073357575345,-70.40091705322266,-69.63967724391456,-0.04272177815437317
task1,test_task1,1,1,0.06073482,0.060856930132231445,0.06320902,0.06324757833396497,-7.459031105041504,-7.469354645737333,-0.0607348196208477
task1,test_task2,1,2,0.053571917,0.053494221149254624,0.06183217,0.061527482708118995,-4.141785144805908,-4.091235885757413,-0.053571917116642
task2,full_test,2,-1,0.031561323,0.031329799046445596,0.03787914,0.037688685614084456,0.7973189949989319,0.7993519884851508,-0.03156132251024246
task2,test_task0,2,0,0.046845514,0.0466943470559057,0.050263673,0.049754997711014104,-93.70282745361328,-91.79570547364942,-0.046845514327287674
task2,test_task1,2,1,0.068178,0.06818995648879865,0.07029442,0.07021011502301096,-9.461745262145996,-9.436668393019401,-0.06817799806594849
task2,test_task2,2,2,0.017591227,0.017488698596467327,0.024615632,0.023585643846640605,0.18509513139724731,0.2518642684428669,-0.01759122684597969
